
id,title,author,synopsis
25,Diary of a Wimpy Kid,Jeff Kinney,Greg Heffley chronicles the trials and tribulations of middle school in his illustrated diary.
26,Percy Jackson & the Olympians: The Lightning Thief,Rick Riordan,Percy discovers he is a demigod and must find Zeus’s stolen lightning bolt to prevent war among the gods.
27,The Gruffalo,Julia Donaldson,"A mouse invents a fearsome creature called the Gruffalo to scare off predators, only to meet the real Gruffalo."
28,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,A repetitive rhyming book that introduces children to colors and animals.
29,Pippi Longstocking,Astrid Lindgren,"The adventures of Pippi, a freckled, pigtailed girl with superhuman strength and a free spirit."
30,The Polar Express,Chris Van Allsburg,"On Christmas Eve, a boy boards a magical train bound for the North Pole and learns about believing."
31,Stellaluna,Janell Cannon,A baby fruit bat separated from her mother learns about differences and acceptance while living with birds.
32,If You Give a Mouse a Cookie,Laura Numeroff,A chain of events unfolds when a boy gives a cookie to a demanding mouse.
33,Corduroy,Don Freeman,A teddy bear in a department store searches for his missing button and finds a loving home.
34,The Runaway Bunny,Margaret Wise Brown,"A little bunny pretends to run away, but his mother promises to always find him."
35,Guess How Much I Love You,Sam McBratney,A father hare and his child compare how much they love each other.
36,Love You Forever,Robert Munsch,"A mother sings a lullaby to her child throughout his life, expressing enduring love."
37,Chicka Chicka Boom Boom,Bill Martin Jr. & John Archambault,"Alphabet letters climb a coconut tree in a rhythmic, rhyming story until the tree bends."
38,The Rainbow Fish,Marcus Pfister,A beautiful fish learns about sharing when he gives away his shiny scales and finds friendship.
39,The Lorax,Dr. Seuss,The Lorax speaks for the trees in a cautionary tale about environmental destruction and greed.
40,The Mitten,Jan Brett,"Animals squeeze into a boy’s lost mitten to stay warm, until the mitten can’t hold anymore."
41,Madeline,Ludwig Bemelmans,Brave Madeline lives in a Paris boarding school and has exciting adventures despite Miss Clavel’s worries.
42,Harold and the Purple Crayon,Crockett Johnson,"Harold draws his own adventures with a purple crayon, creating his world as he goes."
43,Make Way for Ducklings,Robert McCloskey,A pair of ducks raise their ducklings in Boston and the police help them navigate the city.
44,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,"Alexander’s day is filled with mishaps, but he learns everyone has bad days."
45,Swimmy,Leo Lionni,A small fish named Swimmy teaches other fish to swim together like a big fish to outsmart predators.
46,The Story of Ferdinand,Munro Leaf,A gentle bull prefers smelling flowers to fighting but ends up in a bullfight ring.
47,Where's Spot?,Eric Hill,"A lift-the-flap book where a mother dog searches around the house for her puppy, Spot."
48,The Snowy Day,Ezra Jack Keats,"Peter explores his neighborhood after a fresh snowfall, capturing the wonder of a child’s experience."
49,We're Going on a Bear Hunt,Michael Rosen,"A family journeys through various obstacles in pursuit of a bear, only to run back home."
50,Pat the Bunny,Dorothy Kunhardt,A touch-and-feel book that invites young readers to engage with sensory activities.
51,One Fish Two Fish Red Fish Blue Fish,Dr. Seuss,A rhyming book featuring whimsical creatures and playful wordplay.
52,Don't Let the Pigeon Drive the Bus!,Mo Willems,"A bus driver asks readers to watch the bus, and a persistent pigeon begs to drive it."
53,The Paper Bag Princess,Robert Munsch,"A resourceful princess rescues her prince from a dragon, turning fairy tale roles upside down."
54,The Velveteen Rabbit,Margery Williams,A stuffed rabbit longs to become real through the love of a child.
55,The Wind in the Willows,Kenneth Grahame,"Mole, Rat, Toad, and Badger have adventures along the river and through the countryside."
56,Mr. Popper's Penguins,Richard & Florence Atwater,A painter inherits penguins and sets up a stage act to support them.
57,The Indian in the Cupboard,Lynne Reid Banks,A boy discovers his toy Indian comes to life when placed in a magical cupboard.
58,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,A widowed mouse seeks help from intelligent rats to save her home from plowing.
59,The Boxcar Children,Gertrude Chandler Warner,Four orphaned siblings live in a boxcar and solve mysteries with their grandfather.
60,The Phantom Tollbooth,Norton Juster,Milo travels to a whimsical land where he learns to appreciate knowledge and wordplay.
61,Bunnicula,Deborah & James Howe,"A family discovers a vampire rabbit that sucks juice from vegetables, leading to humorous mystery."
62,The Borrowers,Mary Norton,Tiny people living under the floorboards borrow things from humans to survive.
63,Mister Seahorse,Eric Carle,Mr. Seahorse carries eggs in his pouch and meets other male fish who care for eggs.
64,"Click, Clack, Moo: Cows That Type",Doreen Cronin,Cows learn to type and demand better conditions from Farmer Brown.
65,Knuffle Bunny,Mo Willems,A toddler’s beloved stuffed bunny gets lost on a laundry trip and causes distress.
66,Giraffes Can't Dance,Giles Andreae,Gerald the giraffe is mocked for his dancing until he finds his own rhythm.
67,The Little Engine That Could,Watty Piper,A small train engine succeeds in pulling a heavy train over a mountain through determination.
68,The Tale of Despereaux,Kate DiCamillo,A brave mouse with big ears embarks on a quest to save a princess and bring light back to the kingdom.
69,Because of Winn-Dixie,Kate DiCamillo,A young girl befriends a stray dog and builds relationships with eccentric townsfolk.
70,The Magician's Nephew,C.S. Lewis,The prequel to Narnia where children witness the creation of Narnia and the arrival of evil.
71,Prince Caspian,C.S. Lewis,The Pevensie children return to Narnia to help Prince Caspian reclaim his throne.
72,The Voyage of the Dawn Treader,C.S. Lewis,"Lucy and Edmund sail with Caspian across uncharted seas, encountering wonders and dangers."
73,The Silver Chair,C.S. Lewis,Eustace and Jill search for the lost Prince Rilian with the help of a gloomy marsh-wiggle.
74,The Last Battle,C.S. Lewis,"The final book in the Narnia series, depicting the end of Narnia and its renewal."
75,Harry Potter and the Chamber of Secrets,J.K. Rowling,Harry returns to Hogwarts and uncovers a hidden chamber and a deadly monster.
76,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Harry learns about Sirius Black and time travel while facing Dementors.
77,Harry Potter and the Goblet of Fire,J.K. Rowling,Harry competes in the Triwizard Tournament and confronts Voldemort’s return.
78,Harry Potter and the Order of the Phoenix,J.K. Rowling,Harry forms Dumbledore’s Army to fight back against a repressive new teacher and the Dark Lord’s forces.
79,Harry Potter and the Half-Blood Prince,J.K. Rowling,Harry investigates Voldemort’s past and discovers the existence of Horcruxes.
80,Harry Potter and the Deathly Hallows,J.K. Rowling,"Harry, Ron, and Hermione search for Horcruxes and face Voldemort in the final battle."
81,Peter Pan,J.M. Barrie,The boy who never grows up takes Wendy and her brothers to Neverland to battle pirates.
82,Black Beauty,Anna Sewell,"A horse recounts his life and hardships, showing the cruelty and kindness of humans."
83,The Jungle Book,Rudyard Kipling,"Stories of Mowgli, a boy raised by wolves, and other jungle animals learning about survival and friendship."
84,Treasure Island,Robert Louis Stevenson,Jim Hawkins embarks on a voyage with pirates to find buried treasure.
85,Heidi,Johanna Spyri,An orphan girl brings joy to her grandfather in the Swiss Alps and faces change when sent to the city.
86,Little Women,Louisa May Alcott,"The March sisters navigate life, love, and loss during the American Civil War."
87,The Adventures of Tom Sawyer,Mark Twain,Tom Sawyer and his friend Huck Finn have adventures along the Mississippi River.
88,Holes,Louis Sachar,"Stanley Yelnats is sent to a juvenile camp where boys dig holes to “build character,” uncovering a buried mystery."
89,Northern Lights (The Golden Compass),Philip Pullman,Lyra travels to the Arctic to rescue her kidnapped friend and uncovers a sinister plot involving Dust.
90,The Subtle Knife,Philip Pullman,Lyra meets Will and together they traverse multiple worlds while pursued by warring forces.
91,The Amber Spyglass,Philip Pullman,Lyra and Will’s actions decide the fate of worlds as they journey to the Land of the Dead.
92,The Tale of Mr. Jeremy Fisher,Beatrix Potter,A frog goes fishing for dinner and has a narrow escape from a trout.
93,The Tale of Jemima Puddle-Duck,Beatrix Potter,A duck attempts to hatch her eggs away from the farm and is nearly tricked by a fox.
94,The Tale of Tom Kitten,Beatrix Potter,Tom Kitten and his sisters get into trouble when they spoil their fine clothes.
95,The Tale of the Flopsy Bunnies,Beatrix Potter,"Mr. McGregor captures a litter of bunnies, but they are rescued by Thomasina Tittlemouse."
96,The Tale of Benjamin Bunny,Beatrix Potter,Benjamin and his cousin Peter return to Mr. McGregor’s garden to retrieve lost clothes.
97,The True Story of the Three Little Pigs,Jon Scieszka,"The classic tale retold from the wolf’s perspective, claiming innocence."
98,The Snowman,Raymond Briggs,"A boy builds a snowman that comes to life, and they share a magical adventure through the night."
99,I Love You to the Moon and Back,Amelia Hepworth,A heartfelt story of a parent and child expressing how far their love reaches.
100,Peek-a-Who?,Nina Laden,A board book with a “peek-a-boo” format revealing animals and objects through cutouts.
101,The Monster at the End of This Book,Jon Stone,"Grover warns readers not to turn the pages because of a monster at the end, who turns out to be him."
102,Little Blue Truck,Alice Schertle,A friendly blue truck and his animal friends help a stuck dump truck through teamwork.
103,The Tale of the Three Trees,Angela Elwell Hunt,Three trees have dreams of greatness that come true in unexpected ways.
104,Curious George,H.A. Rey & Margret Rey,A mischievous monkey named George has curious adventures with the Man with the Yellow Hat.
105,Amelia Bedelia,Peggy Parish,A literal-minded housekeeper creates humorous misunderstandings by interpreting instructions exactly.
106,Sylvester and the Magic Pebble,William Steig,A donkey finds a magic pebble that grants wishes but becomes a rock after wishing to be safe.
107,The Ugly Duckling,Hans Christian Andersen,"An outcast duckling grows into a beautiful swan, discovering his true identity."
108,Thumbelina,Hans Christian Andersen,A tiny girl born from a flower goes on a series of adventures and finds love among the fairies.
109,Hansel and Gretel,Brothers Grimm,Siblings lost in the woods encounter a witch in a gingerbread house but manage to escape.
110,Rapunzel,Brothers Grimm,A girl with long hair is imprisoned in a tower by a witch until she is rescued.
111,Cinderella,Brothers Grimm,A mistreated girl attends a royal ball with the help of her fairy godmother and wins the prince’s heart.
112,Snow White and the Seven Dwarfs,Brothers Grimm,"Snow White flees from her jealous stepmother and lives with seven dwarfs, eventually awakened by true love’s kiss."
113,The Princess and the Pea,Hans Christian Andersen,"A prince searches for a true princess, and a hidden pea under mattresses proves a girl’s royal sensitivity."
114,Beauty and the Beast,Jeanne-Marie Leprince de Beaumont,"Beauty sacrifices herself to live with a Beast in his castle, and her love breaks his curse."
115,The Little Mermaid,Hans Christian Andersen,A mermaid gives up her voice to become human and pursue the prince she loves.
116,Pinocchio,Carlo Collodi,A wooden puppet’s nose grows when he lies; he learns honesty and becomes a real boy.
117,Jack and the Beanstalk,Traditional,Jack climbs a beanstalk to a giant’s castle and steals treasures to save his family.
118,The Frog Prince,Brothers Grimm,A princess begrudgingly befriends a frog who ultimately turns into a prince.
119,The Little Match Girl,Hans Christian Andersen,A poor girl lights matches in the cold and dreams of warmth as she slowly freezes.
120,Rumpelstiltskin,Brothers Grimm,A miller’s daughter must spin straw into gold; a mysterious little man helps her for a price.
121,Sleeping Beauty,Charles Perrault,A princess cursed to sleep for 100 years is awakened by a prince’s kiss.
122,Aladdin and the Magic Lamp,Traditional,"Aladdin discovers a magic lamp with a genie who grants him wishes, leading to adventure and fortune."
123,The Day the Crayons Quit,Drew Daywalt,Crayons write letters to their owner to complain about how they’re being used.
124,Room on the Broom,Julia Donaldson,"A kind witch and her cat make room on their broom for a dog, a bird, and a frog."
125,The Very Busy Spider,Eric Carle,"A spider spins her web while other animals ask her to play, showing persistence and purpose."
126,"No, David!",David Shannon,A mischievous boy named David continually breaks rules and is lovingly reminded of boundaries.
127,"Goodnight, Goodnight, Construction Site",Sherri Duskey Rinker,Construction vehicles finish their work and prepare for bedtime.
128,Dragons Love Tacos,Adam Rubin,A humorous story about dragons who love tacos but hate spicy salsa.
129,Press Here,Hervé Tullet,An interactive book that encourages readers to press dots and watch them multiply and move.
130,Pete the Cat: I Love My White Shoes,Eric Litwin,Pete the Cat keeps walking with a positive attitude even when his white shoes get dirty.
131,The Napping House,Audrey Wood,A cumulative tale of a house where everyone is sleeping until a wakeful flea causes a ruckus.
132,Owl Babies,Martin Waddell,"Three baby owls wait for their mother to return, experiencing fear and relief."
133,If You Give a Pig a Pancake,Laura Numeroff,A pig’s request for a pancake leads to a series of other requests.
134,The Kissing Hand,Audrey Penn,A raccoon mother gives her child a kiss on his hand to comfort him on his first day of school.
135,The Gruffalo's Child,Julia Donaldson,The Gruffalo’s daughter goes into the woods to find the Big Bad Mouse.
136,The Pout-Pout Fish,Deborah Diesen,A gloomy fish learns to turn his pout into a smile after meeting a new friend.
137,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",Don & Audrey Wood,A mouse protects his strawberry from an alleged bear by sharing it.
138,Kitten's First Full Moon,Kevin Henkes,A kitten mistakes the full moon for a bowl of milk and tries to catch it.
139,Miss Nelson Is Missing!,Harry Allard & James Marshall,A sweet teacher disguises herself as a strict substitute to teach her misbehaving class a lesson.
140,Froggy Gets Dressed,Jonathan London,Froggy keeps forgetting items of clothing as he tries to play outside in the snow.
141,Llama Llama Red Pajama,Anna Dewdney,A young llama feels anxious when his mother leaves his room at bedtime.
142,Bear Snores On,Karma Wilson,"While Bear hibernates, other animals have a party in his cave until he wakes up."
143,Each Peach Pear Plum,Janet & Allan Ahlberg,A rhyming “I spy” book where characters from nursery rhymes hide in illustrations.
144,Tikki Tikki Tembo,Arlene Mosel,"A folktale explaining why Chinese names are short, featuring a boy with a very long name."
145,Anansi the Spider,Gerald McDermott,Anansi and his sons go on adventures illustrating different talents and cooperation.
146,Caps for Sale,Esphyr Slobodkina,A peddler falls asleep and monkeys steal his caps; he must outwit them to retrieve them.
147,The Little Red Hen,Paul Galdone,"The Little Red Hen asks for help making bread, but none of the other animals help, so she eats it herself."
148,Stone Soup,Marcia Brown,Travellers trick villagers into sharing ingredients for soup by starting with stones.
149,Strega Nona,Tomie dePaola,A kind witch’s magic pasta pot causes trouble when her helper uses it without knowing how to stop it.
150,The Poky Little Puppy,Janette Sebring Lowrey,Five puppies dig holes under the fence; the pokiest puppy gets extra dessert while the others are punished.
